Comment,Designator,Footprint,LCSC
PRTR5V0U2X,U2,SOT143B,C12333
16Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C156247
10uF,C7,C_0805_2012Metric,C15850
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-HandSoldering,C165948
10k,R3,R_0805_2012Metric,C17414
22,"R1,R2",R_0805_2012Metric,C17561
22pF,"C3,C4",C_0805_2012Metric,C1804
5.1k,"R4,R5",R_0805_2012Metric,C27834
1uF,C6,C_0805_2012Metric,C28323
ATmega32U4-A,U1,TQFP-44_10x10mm_P0.8mm,C44854
0.1uF,"C1,C2,C5",C_0805_2012Metric,C49678
500mA,F1,Fuse_1206_3216Metric,C70069
SW_Push,SW2,MX-Hotswap-1U,
SW_Push,SW1,MX-Hotswap-1U,
SW_Push,SW3,MX-Hotswap-1U,
