Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,146.613941,-101.158058,225.0,bottom
C2,0.1uF,C_0805_2012Metric,125.891066,-99.030573,135.0,bottom
C3,22pF,C_0805_2012Metric,139.520549,-113.61465,45.0,bottom
C4,22pF,C_0805_2012Metric,145.009465,-108.116895,225.0,bottom
C5,0.1uF,C_0805_2012Metric,131.508145,-93.413494,315.0,bottom
C6,1uF,C_0805_2012Metric,143.576758,-96.745508,315.0,bottom
C7,10uF,C_0805_2012Metric,130.175,-111.91875,225.0,bottom
F1,500mA,Fuse_1206_3216Metric,143.66875,-65.0875,0.0,bottom
R1,22,R_0805_2012Metric,139.76722,-92.93597,315.0,bottom
R2,22,R_0805_2012Metric,141.2875,-94.45625,135.0,bottom
R3,10k,R_0805_2012Metric,124.331011,-106.203287,45.0,bottom
R4,5.1k,R_0805_2012Metric,131.7625,-65.725,90.0,bottom
R5,5.1k,R_0805_2012Metric,138.90625,-65.725,90.0,bottom
SW1,SW_Push,MX-Hotswap-1U,115.8875,-80.16875,0.0,top
SW2,SW_Push,MX-Hotswap-1U,134.9375,-80.16875,0.0,top
SW3,SW_Push,MX-Hotswap-1U,153.9875,-80.16875,0.0,top
U1,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,134.875741,-102.39375,315.0,bottom
U2,PRTR5V0U2X,SOT143B,135.45,-65.9125,180.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,134.9375,-53.065,180.0,bottom
Y1,16Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,142.207555,-110.927645,225.0,bottom
